Goles - tal - otro - e - u 
55 - 85 - 98 - 92 - 56
69 - 84 - 60 - 80 - 87
86 - 8 - 8 - 0 - 66
68 - 66 - 67 - 77 - 51
84 - 95 - 40 - 8 - 20
66 - 66 - 15 - 61 - 65
61 - 7 - 49 - 29 - 92
83 - 82 - 56 - 29 - 63
89 - 28 - 3 - 85 - 18
31 - 52 - 1 - 94 - 37
62 - 7 - 19 - 93 - 87
22 - 27 - 87 - 95 - 2
31 - 96 - 81 - 60 - 57
57 - 65 - 30 - 5 - 74
85 - 16 - 66 - 84 - 6
94 - 95 - 63 - 44 - 3
3 - 76 - 62 - 71 - 13
59 - 79 - 91 - 28 - 50
92 - 6 - 98 - 94 - 47
19 - 13 - 18 - 40 - 76
50 - 57 - 30 - 48 - 63
68 - 19 - 74 - 42 - 92
78 - 93 - 58 - 13 - 94
33 - 98 - 75 - 86 - 82
96 - 66 - 41 - 36 - 62
44 - 5 - 5 - 22 - 55
68 - 5 - 11 - 5 - 78
53 - 83 - 55 - 20 - 18
98 - 82 - 32 - 33 - 11
50 - 12 - 87 - 49 - 32
61 - 58 - 7 - 77 - 34
38 - 39 - 89 - 1 - 28
0 - 38 - 82 - 74 - 47
14 - 9 - 43 - 89 - 44
0 - 83 - 97 - 24 - 35
39 - 98 - 42 - 62 - 85
98 - 91 - 52 - 79 - 18
65 - 20 - 51 - 97 - 24
19 - 44 - 22 - 65 - 41
0 - 84 - 97 - 74 - 19
69 - 31 - 9 - 41 - 95
86 - 13 - 77 - 53 - 7
86 - 88 - 76 - 70 - 41
7 - 50 - 45 - 79 - 98
66 - 47 - 15 - 1 - 88
62 - 53 - 43 - 64 - 48
22 - 99 - 85 - 17 - 12
68 - 88 - 91 - 44 - 81
33 - 46 - 44 - 86 - 51
48 - 10 - 86 - 37 - 35
17 - 62 - 68 - 63 - 11
67 - 34 - 78 - 79 - 60
87 - 41 - 93 - 11 - 41
6 - 90 - 49 - 31 - 3
57 - 98 - 48 - 49 - 97
16 - 78 - 74 - 57 - 81
63 - 51 - 62 - 2 - 31
4 - 25 - 66 - 1 - 84
69 - 52 - 11 - 73 - 75
66 - 23 - 64 - 58 - 96
42 - 57 - 4 - 68 - 50
86 - 15 - 9 - 51 - 42
2 - 86 - 72 - 3 - 12
46 - 53 - 87 - 52 - 40
67 - 95 - 37 - 74 - 38
44 - 12 - 89 - 0 - 87
72 - 18 - 86 - 82 - 55
58 - 14 - 34 - 51 - 70
79 - 4 - 83 - 46 - 56
41 - 58 - 38 - 39 - 11
30 - 84 - 39 - 98 - 30
27 - 60 - 92 - 10 - 67
23 - 22 - 5 - 26 - 67
80 - 67 - 49 - 14 - 29
85 - 34 - 38 - 49 - 20
81 - 80 - 1 - 83 - 46
56 - 4 - 6 - 48 - 74
13 - 57 - 33 - 25 - 52
15 - 31 - 7 - 46 - 71
46 - 43 - 71 - 23 - 51
63 - 7 - 41 - 74 - 41
56 - 18 - 69 - 73 - 92
60 - 10 - 60 - 54 - 79
34 - 1 - 88 - 34 - 61
67 - 60 - 26 - 91 - 85
7 - 14 - 72 - 87 - 62
40 - 51 - 19 - 6 - 35
12 - 14 - 42 - 19 - 38
5 - 96 - 75 - 71 - 23
57 - 82 - 57 - 2 - 34
39 - 68 - 14 - 30 - 17
64 - 34 - 7 - 0 - 71
49 - 34 - 93 - 50 - 89
8 - 35 - 9 - 76 - 69
75 - 28 - 45 - 59 - 60
5 - 78 - 36 - 7 - 32
87 - 18 - 4 - 86 - 62
7 - 99 - 99 - 64 - 41
85 - 0 - 43 - 66 - 81
61 - 51 - 73 - 80 - 96
79 - 64 - 75 - 20 - 40
11 - 39 - 8 - 94 - 16
45 - 55 - 21 - 97 - 69
79 - 49 - 43 - 51 - 11
87 - 63 - 44 - 18 - 91
13 - 46 - 31 - 18 - 7
99 - 57 - 35 - 61 - 67
73 - 8 - 30 - 71 - 30
86 - 27 - 42 - 5 - 93
33 - 50 - 24 - 87 - 92
84 - 26 - 95 - 31 - 18
32 - 4 - 79 - 84 - 66
35 - 40 - 94 - 92 - 58
52 - 34 - 71 - 97 - 36
9 - 91 - 80 - 79 - 72
31 - 22 - 4 - 1 - 5
95 - 85 - 13 - 3 - 24
68 - 78 - 21 - 44 - 85
75 - 62 - 70 - 11 - 97
85 - 49 - 98 - 38 - 7
9 - 29 - 15 - 29 - 55
96 - 79 - 44 - 26 - 37
49 - 72 - 20 - 62 - 77
72 - 57 - 67 - 47 - 3
3 - 13 - 50 - 71 - 89
98 - 67 - 25 - 86 - 22
34 - 41 - 16 - 42 - 85
70 - 89 - 78 - 20 - 23
43 - 84 - 53 - 57 - 82
65 - 70 - 65 - 4 - 2
86 - 61 - 92 - 42 - 38
12 - 64 - 56 - 18 - 20
22 - 8 - 70 - 58 - 1
28 - 77 - 65 - 49 - 56
54 - 69 - 82 - 23 - 22
60 - 62 - 99 - 8 - 27
6 - 80 - 90 - 77 - 54
3 - 16 - 28 - 74 - 58
57 - 23 - 75 - 9 - 93
13 - 10 - 72 - 29 - 98
47 - 79 - 73 - 62 - 13
49 - 34 - 26 - 29 - 76
42 - 32 - 46 - 33 - 32
91 - 69 - 93 - 26 - 5
78 - 13 - 93 - 80 - 87
72 - 39 - 9 - 76 - 61
20 - 48 - 29 - 87 - 17
51 - 17 - 7 - 49 - 66
8 - 32 - 61 - 7 - 38
49 - 15 - 74 - 92 - 20
35 - 46 - 72 - 87 - 22
55 - 50 - 75 - 64 - 3
42 - 80 - 29 - 53 - 26
67 - 20 - 22 - 57 - 58
17 - 51 - 7 - 90 - 51
5 - 65 - 46 - 27 - 40
21 - 11 - 56 - 16 - 83
93 - 49 - 49 - 24 - 1
94 - 13 - 31 - 17 - 4
79 - 14 - 39 - 91 - 40
74 - 25 - 32 - 7 - 6
42 - 0 - 93 - 4 - 70
44 - 81 - 99 - 93 - 25
80 - 3 - 1 - 95 - 74
62 - 51 - 67 - 12 - 89
55 - 27 - 42 - 96 - 72
44 - 7 - 46 - 2 - 44
17 - 85 - 26 - 19 - 80
29 - 15 - 22 - 51 - 37
32 - 20 - 4 - 29 - 0
69 - 86 - 88 - 28 - 21
14 - 36 - 10 - 87 - 54
73 - 67 - 73 - 16 - 17
65 - 31 - 81 - 48 - 31
13 - 97 - 32 - 12 - 56
36 - 51 - 95 - 6 - 71
62 - 81 - 23 - 77 - 16
59 - 58 - 34 - 83 - 75
85 - 99 - 42 - 94 - 61
29 - 40 - 91 - 68 - 2
74 - 77 - 3 - 73 - 64
48 - 0 - 97 - 81 - 52
54 - 56 - 97 - 56 - 10
33 - 69 - 40 - 5 - 0
11 - 93 - 65 - 36 - 80
82 - 64 - 86 - 48 - 79
29 - 2 - 93 - 80 - 38
85 - 78 - 81 - 88 - 0
88 - 11 - 69 - 45 - 52
9 - 5 - 72 - 12 - 72
81 - 50 - 37 - 37 - 19
30 - 44 - 53 - 38 - 46
52 - 30 - 70 - 75 - 14
59 - 10 - 83 - 41 - 55
81 - 16 - 36 - 4 - 62
74 - 6 - 56 - 33 - 60
40 - 54 - 78 - 72 - 19
61 - 30 - 39 - 59 - 20
87 - 58 - 71 - 0 - 85
23 - 12 - 5 - 51 - 43
50 - 1 - 8 - 73 - 79
41 - 32 - 99 - 84 - 66
52 - 87 - 14 - 0 - 23
33 - 46 - 80 - 31 - 99
6 - 5 - 50 - 91 - 52
98 - 98 - 81 - 35 - 1
76 - 25 - 21 - 69 - 31
86 - 89 - 4 - 96 - 86
54 - 70 - 22 - 20 - 59
46 - 54 - 23 - 2 - 53
80 - 54 - 94 - 3 - 44
64 - 22 - 1 - 15 - 9
87 - 26 - 72 - 74 - 26
8 - 65 - 31 - 44 - 33
52 - 88 - 42 - 26 - 54
80 - 82 - 67 - 8 - 1
6 - 61 - 46 - 45 - 19
59 - 72 - 18 - 15 - 45
7 - 30 - 69 - 93 - 75
37 - 14 - 81 - 40 - 44
64 - 37 - 91 - 15 - 52
40 - 26 - 48 - 42 - 32
30 - 68 - 8 - 55 - 71
68 - 73 - 21 - 7 - 28
41 - 89 - 61 - 54 - 13
51 - 98 - 74 - 51 - 91
64 - 39 - 61 - 62 - 4
39 - 29 - 21 - 21 - 70
41 - 65 - 1 - 74 - 7
31 - 71 - 8 - 25 - 73
90 - 65 - 52 - 43 - 9
11 - 66 - 45 - 31 - 2
65 - 25 - 95 - 67 - 47
37 - 2 - 57 - 45 - 23
25 - 82 - 44 - 36 - 87
95 - 44 - 86 - 28 - 56
20 - 99 - 85 - 48 - 73
9 - 21 - 28 - 36 - 68
92 - 44 - 65 - 68 - 93
48 - 62 - 83 - 46 - 12
34 - 24 - 30 - 3 - 51
11 - 71 - 33 - 8 - 67
58 - 55 - 91 - 39 - 64
0 - 49 - 82 - 28 - 0
37 - 93 - 47 - 5 - 8
69 - 59 - 35 - 78 - 58
42 - 61 - 81 - 21 - 0
93 - 8 - 92 - 96 - 13
43 - 94 - 27 - 73 - 94
23 - 73 - 42 - 32 - 0
99 - 12 - 18 - 85 - 58
52 - 97 - 44 - 57 - 7
53 - 69 - 35 - 66 - 48
27 - 75 - 3 - 86 - 41
29 - 63 - 89 - 37 - 0
71 - 33 - 60 - 34 - 0
83 - 51 - 86 - 99 - 34
3 - 16 - 24 - 36 - 87
91 - 67 - 20 - 99 - 99
99 - 58 - 95 - 64 - 2
25 - 65 - 57 - 80 - 26
44 - 47 - 67 - 65 - 75
55 - 38 - 8 - 54 - 69
7 - 60 - 82 - 91 - 7
22 - 9 - 71 - 28 - 73
68 - 34 - 52 - 95 - 46
47 - 91 - 34 - 65 - 0
86 - 95 - 80 - 32 - 74
30 - 82 - 75 - 57 - 40
37 - 87 - 40 - 2 - 86
2 - 90 - 67 - 95 - 32
34 - 98 - 32 - 85 - 39
54 - 11 - 36 - 64 - 3
77 - 86 - 80 - 41 - 34
9 - 45 - 65 - 12 - 5
61 - 72 - 14 - 86 - 31
20 - 61 - 62 - 35 - 10
25 - 7 - 44 - 7 - 56
23 - 3 - 16 - 38 - 57
44 - 0 - 66 - 90 - 85
72 - 79 - 97 - 16 - 39
2 - 6 - 5 - 7 - 25
0 - 18 - 90 - 2 - 74
74 - 90 - 32 - 49 - 25
20 - 31 - 58 - 82 - 80
39 - 60 - 0 - 29 - 85
2 - 93 - 4 - 33 - 77
38 - 31 - 34 - 78 - 6
32 - 12 - 41 - 6 - 50
63 - 18 - 51 - 57 - 15
51 - 43 - 95 - 82 - 45
99 - 2 - 46 - 98 - 55
89 - 99 - 69 - 1 - 97
62 - 25 - 57 - 33 - 92
15 - 18 - 14 - 89 - 68
3 - 27 - 44 - 90 - 50
4 - 34 - 18 - 12 - 7
30 - 7 - 53 - 9 - 36
53 - 81 - 56 - 63 - 35
94 - 1 - 38 - 80 - 46
58 - 76 - 92 - 57 - 84
58 - 15 - 0 - 26 - 24
90 - 50 - 68 - 5 - 32
10 - 22 - 0 - 74 - 3
92 - 25 - 67 - 41 - 14
71 - 7 - 50 - 66 - 45
13 - 96 - 77 - 65 - 6
19 - 25 - 40 - 49 - 61
5 - 48 - 49 - 90 - 59
10 - 22 - 98 - 18 - 10
76 - 67 - 35 - 47 - 75
34 - 79 - 93 - 42 - 28
12 - 99 - 24 - 99 - 8
53 - 47 - 73 - 13 - 18
53 - 44 - 96 - 95 - 33
37 - 6 - 77 - 61 - 93
62 - 65 - 39 - 80 - 44
80 - 87 - 26 - 58 - 12
72 - 63 - 1 - 50 - 45
58 - 21 - 0 - 6 - 59
24 - 92 - 3 - 22 - 40
4 - 82 - 22 - 57 - 41
34 - 15 - 12 - 94 - 83
91 - 87 - 57 - 88 - 66
45 - 27 - 78 - 69 - 75
20 - 53 - 38 - 54 - 27
20 - 87 - 15 - 31 - 61
24 - 55 - 63 - 46 - 5
67 - 76 - 7 - 88 - 68
21 - 47 - 58 - 94 - 17
78 - 45 - 12 - 50 - 3
62 - 60 - 53 - 91 - 32
90 - 59 - 79 - 68 - 88
96 - 3 - 82 - 18 - 97
84 - 94 - 3 - 65 - 55
17 - 96 - 65 - 89 - 75
35 - 8 - 73 - 9 - 78
81 - 21 - 45 - 9 - 22
82 - 27 - 4 - 13 - 2
39 - 85 - 8 - 22 - 39
63 - 26 - 50 - 14 - 23
97 - 7 - 1 - 86 - 45
20 - 19 - 98 - 75 - 7
66 - 99 - 0 - 74 - 71
72 - 36 - 13 - 46 - 75
63 - 67 - 75 - 49 - 43
35 - 1 - 68 - 61 - 63
88 - 14 - 96 - 54 - 5
96 - 87 - 1 - 46 - 22
22 - 4 - 92 - 10 - 10
1 - 66 - 83 - 62 - 30
89 - 88 - 56 - 20 - 65
21 - 46 - 29 - 39 - 19
41 - 63 - 64 - 94 - 60
34 - 4 - 76 - 17 - 8
84 - 21 - 3 - 96 - 31
70 - 64 - 44 - 50 - 98
41 - 69 - 57 - 18 - 39
6 - 58 - 36 - 20 - 84
72 - 59 - 37 - 31 - 84
77 - 49 - 47 - 29 - 90
86 - 34 - 21 - 83 - 59
23 - 18 - 33 - 91 - 44
33 - 21 - 67 - 19 - 0
92 - 32 - 93 - 62 - 26
70 - 99 - 50 - 73 - 51
36 - 87 - 59 - 39 - 71
57 - 51 - 52 - 80 - 2
59 - 8 - 51 - 25 - 95
88 - 14 - 1 - 96 - 52
53 - 12 - 2 - 16 - 9
94 - 41 - 16 - 14 - 26
14 - 20 - 6 - 58 - 4
54 - 65 - 58 - 66 - 46
78 - 29 - 44 - 24 - 66
7 - 24 - 50 - 30 - 13
74 - 80 - 4 - 1 - 25
50 - 80 - 6 - 15 - 5
10 - 57 - 89 - 5 - 86
88 - 98 - 17 - 20 - 84
91 - 25 - 18 - 84 - 82
8 - 53 - 2 - 72 - 73
84 - 58 - 11 - 69 - 5
29 - 39 - 41 - 30 - 69
51 - 35 - 25 - 64 - 67
20 - 91 - 39 - 24 - 21
46 - 65 - 10 - 38 - 26
1 - 18 - 71 - 26 - 94
80 - 40 - 36 - 1 - 76
20 - 64 - 13 - 13 - 22
82 - 51 - 91 - 82 - 87
96 - 28 - 7 - 29 - 65
80 - 31 - 19 - 98 - 31
79 - 3 - 81 - 86 - 67
29 - 97 - 15 - 52 - 54
9 - 44 - 72 - 9 - 13
83 - 89 - 77 - 51 - 12
69 - 11 - 45 - 34 - 19
30 - 15 - 53 - 71 - 94
20 - 60 - 25 - 80 - 50
46 - 20 - 10 - 63 - 2
62 - 33 - 34 - 30 - 70
2 - 59 - 11 - 7 - 97
72 - 74 - 13 - 68 - 78
28 - 76 - 78 - 2 - 87
49 - 48 - 34 - 70 - 95
57 - 36 - 2 - 84 - 89
32 - 70 - 93 - 53 - 73
99 - 76 - 98 - 76 - 76
22 - 99 - 59 - 94 - 79
23 - 0 - 84 - 53 - 59
92 - 20 - 32 - 83 - 13
86 - 66 - 81 - 4 - 7
8 - 35 - 65 - 94 - 15
40 - 36 - 75 - 95 - 31
43 - 34 - 48 - 13 - 76
32 - 92 - 26 - 88 - 69
57 - 45 - 47 - 33 - 60
79 - 56 - 30 - 17 - 52
74 - 63 - 53 - 11 - 59
10 - 81 - 12 - 36 - 63
38 - 36 - 31 - 99 - 43
53 - 52 - 36 - 97 - 16
95 - 91 - 54 - 68 - 82
42 - 86 - 8 - 28 - 49
42 - 51 - 0 - 45 - 39
42 - 29 - 20 - 86 - 26
38 - 16 - 63 - 36 - 52
83 - 19 - 53 - 8 - 18
50 - 55 - 25 - 35 - 19
63 - 40 - 86 - 79 - 11
47 - 0 - 31 - 64 - 68
31 - 10 - 99 - 82 - 99
21 - 61 - 70 - 45 - 17
94 - 46 - 46 - 89 - 94
14 - 52 - 73 - 28 - 80
93 - 26 - 61 - 85 - 95
78 - 1 - 67 - 45 - 90
24 - 46 - 42 - 19 - 91
29 - 93 - 47 - 86 - 62
77 - 55 - 83 - 77 - 46
75 - 2 - 40 - 93 - 86
65 - 10 - 53 - 88 - 93
20 - 9 - 5 - 64 - 69
44 - 3 - 58 - 92 - 98
85 - 13 - 75 - 3 - 28
97 - 95 - 10 - 88 - 71
79 - 24 - 64 - 1 - 38
36 - 24 - 65 - 45 - 79
1 - 40 - 77 - 72 - 46
39 - 14 - 1 - 68 - 9
6 - 1 - 66 - 65 - 0
94 - 79 - 67 - 53 - 88
69 - 42 - 3 - 53 - 80
64 - 88 - 42 - 38 - 43
56 - 81 - 95 - 73 - 18
11 - 60 - 33 - 10 - 31
5 - 93 - 14 - 93 - 20
92 - 70 - 18 - 20 - 23
6 - 25 - 30 - 65 - 98
84 - 26 - 87 - 90 - 63
86 - 74 - 69 - 61 - 25
87 - 3 - 89 - 51 - 91
8 - 59 - 29 - 49 - 40
53 - 15 - 22 - 45 - 31
37 - 97 - 9 - 71 - 66
59 - 74 - 90 - 72 - 22
44 - 87 - 63 - 99 - 45
93 - 20 - 0 - 48 - 19
66 - 1 - 97 - 59 - 16
84 - 68 - 76 - 42 - 13
32 - 42 - 20 - 62 - 23
53 - 82 - 58 - 76 - 82
92 - 25 - 24 - 66 - 12
23 - 75 - 9 - 94 - 34
34 - 64 - 0 - 53 - 93
30 - 92 - 54 - 67 - 85
71 - 34 - 67 - 42 - 58
58 - 89 - 59 - 35 - 80
4 - 56 - 97 - 59 - 61
63 - 34 - 75 - 80 - 13
73 - 70 - 85 - 83 - 70
98 - 98 - 20 - 3 - 15
32 - 19 - 38 - 19 - 72
39 - 41 - 24 - 59 - 3
92 - 22 - 39 - 57 - 29
91 - 96 - 60 - 32 - 64
30 - 16 - 58 - 65 - 64
62 - 72 - 28 - 59 - 13
58 - 50 - 97 - 89 - 78
83 - 54 - 49 - 38 - 7
63 - 26 - 99 - 86 - 31
1 - 25 - 80 - 28 - 48
82 - 80 - 82 - 94 - 75
68 - 73 - 82 - 80 - 77
70 - 71 - 79 - 88 - 98
76 - 62 - 49 - 82 - 10
98 - 43 - 56 - 51 - 61
28 - 50 - 32 - 57 - 36
22 - 90 - 21 - 55 - 85
96 - 10 - 69 - 12 - 78
11 - 94 - 25 - 83 - 48
26 - 9 - 69 - 5 - 0
8 - 4 - 52 - 4 - 7
62 - 24 - 84 - 99 - 10
89 - 78 - 89 - 40 - 42
50 - 57 - 43 - 16 - 36
88 - 30 - 78 - 76 - 14
28 - 13 - 12 - 60 - 9
7 - 55 - 86 - 30 - 7
86 - 76 - 19 - 99 - 67
97 - 48 - 99 - 89 - 47
36 - 27 - 3 - 31 - 44
49 - 49 - 95 - 60 - 90
62 - 95 - 22 - 63 - 79
57 - 64 - 29 - 99 - 16
48 - 29 - 93 - 7 - 85
24 - 44 - 36 - 83 - 0
91 - 15 - 43 - 98 - 90
42 - 84 - 31 - 39 - 62
85 - 6 - 58 - 24 - 54
93 - 65 - 67 - 63 - 48
5 - 64 - 80 - 12 - 33
80 - 18 - 7 - 44 - 8
27 - 19 - 99 - 72 - 11
21 - 2 - 39 - 14 - 27
84 - 59 - 58 - 84 - 85
58 - 62 - 46 - 73 - 90
27 - 89 - 66 - 49 - 93
33 - 5 - 20 - 4 - 4
12 - 72 - 34 - 81 - 98
15 - 25 - 58 - 69 - 27
79 - 69 - 44 - 24 - 34
3 - 17 - 48 - 19 - 8
75 - 61 - 64 - 75 - 52
64 - 64 - 35 - 81 - 64
9 - 88 - 56 - 77 - 92
54 - 77 - 39 - 12 - 60
87 - 91 - 67 - 70 - 77
78 - 39 - 51 - 44 - 2
96 - 20 - 91 - 98 - 54
70 - 57 - 82 - 7 - 67
56 - 86 - 35 - 56 - 31
4 - 70 - 39 - 46 - 31
37 - 93 - 97 - 61 - 83
18 - 35 - 11 - 91 - 37
46 - 67 - 71 - 65 - 2
97 - 43 - 90 - 36 - 17
24 - 16 - 4 - 3 - 24
51 - 37 - 5 - 4 - 48
22 - 79 - 84 - 38 - 41
92 - 58 - 29 - 45 - 11
21 - 91 - 66 - 45 - 76
37 - 40 - 98 - 68 - 10
23 - 82 - 82 - 22 - 4
31 - 81 - 11 - 91 - 8
55 - 82 - 66 - 82 - 57
92 - 28 - 11 - 71 - 8
64 - 86 - 80 - 67 - 8
92 - 79 - 55 - 85 - 62
78 - 75 - 90 - 56 - 10
88 - 30 - 62 - 41 - 45
46 - 87 - 89 - 71 - 26
9 - 10 - 58 - 15 - 78
74 - 71 - 33 - 58 - 23
59 - 59 - 26 - 76 - 42
5 - 2 - 62 - 93 - 82
13 - 25 - 20 - 15 - 36
49 - 86 - 24 - 30 - 90
57 - 40 - 30 - 18 - 26
86 - 12 - 71 - 68 - 67
8 - 89 - 66 - 58 - 85
5 - 49 - 59 - 60 - 6
46 - 30 - 88 - 90 - 96
78 - 28 - 12 - 10 - 1
1 - 61 - 85 - 77 - 21
14 - 18 - 59 - 99 - 63
65 - 68 - 98 - 81 - 40
90 - 81 - 11 - 54 - 16
26 - 4 - 61 - 96 - 96
90 - 64 - 53 - 62 - 4
28 - 97 - 97 - 12 - 97
0 - 3 - 86 - 99 - 69
27 - 37 - 92 - 1 - 19
30 - 32 - 60 - 20 - 79
85 - 71 - 85 - 0 - 18
49 - 39 - 7 - 90 - 20
91 - 96 - 38 - 8 - 1
95 - 78 - 21 - 96 - 45
44 - 10 - 53 - 48 - 34
55 - 77 - 59 - 46 - 50
15 - 50 - 33 - 6 - 37
63 - 6 - 59 - 21 - 43
73 - 30 - 78 - 36 - 4
67 - 9 - 57 - 57 - 81
99 - 47 - 75 - 97 - 42
69 - 78 - 78 - 54 - 9
21 - 71 - 65 - 80 - 73
39 - 56 - 25 - 68 - 29
35 - 39 - 47 - 48 - 21
49 - 78 - 43 - 4 - 88
31 - 26 - 68 - 41 - 26
11 - 50 - 23 - 49 - 80
71 - 56 - 15 - 95 - 34
8 - 19 - 4 - 80 - 45
27 - 47 - 99 - 63 - 87
76 - 74 - 8 - 74 - 51
40 - 51 - 56 - 8 - 38
31 - 23 - 8 - 91 - 29
87 - 79 - 65 - 70 - 25
64 - 35 - 73 - 52 - 96
87 - 37 - 54 - 25 - 15
19 - 95 - 79 - 60 - 74
25 - 8 - 3 - 62 - 53
90 - 32 - 47 - 63 - 87
44 - 52 - 46 - 57 - 23
56 - 49 - 82 - 52 - 90
39 - 16 - 29 - 82 - 51
75 - 59 - 25 - 96 - 76
22 - 90 - 6 - 92 - 4
5 - 92 - 65 - 66 - 66
33 - 34 - 84 - 75 - 33
6 - 80 - 65 - 93 - 9
51 - 93 - 76 - 44 - 31
70 - 71 - 59 - 50 - 87
25 - 67 - 2 - 69 - 55
51 - 93 - 48 - 35 - 12
93 - 86 - 16 - 88 - 30
32 - 32 - 34 - 31 - 53
95 - 35 - 10 - 65 - 72
88 - 36 - 84 - 52 - 97
16 - 61 - 32 - 24 - 53
57 - 47 - 15 - 94 - 8
48 - 43 - 22 - 44 - 73
9 - 29 - 63 - 49 - 99
53 - 63 - 62 - 44 - 57
66 - 21 - 27 - 20 - 88
57 - 29 - 2 - 36 - 4
4 - 99 - 74 - 30 - 30
4 - 18 - 11 - 34 - 75
63 - 31 - 47 - 87 - 49
70 - 31 - 58 - 56 - 54
67 - 78 - 35 - 1 - 99
79 - 38 - 39 - 35 - 31
33 - 94 - 65 - 49 - 51
88 - 67 - 86 - 66 - 2
25 - 42 - 58 - 27 - 1
1 - 15 - 54 - 5 - 51
59 - 41 - 86 - 17 - 34
76 - 89 - 28 - 9 - 36
46 - 24 - 30 - 99 - 25
64 - 90 - 4 - 25 - 23
